state,id,population,vehice-miles,fatal_crashes,deaths,deaths_per_pop,deaths_per_mil,deaths_per_million_miles
Alabama,1,4887871,71167,876,953,19.5,1.34,0.013391038
Alaska,2,737438,5487,69,80,10.8,1.46,0.014579916
Arizona,4,7171646,66145,916,1010,14.1,1.53,0.015269484
Arkansas,5,3013825,36675,472,516,17.1,1.41,0.01406953
California,6,39557045,348796,3259,3563,9,1.02,0.01021514
Colorado,8,5695564,53954,588,632,11.1,1.17,0.011713682
Connecticut,9,3572665,31596,276,294,8.2,0.93,0.009304975
Delaware,10,967171,10179,104,111,11.5,1.09,0.010904804
District of Columbia,11,702455,3691,30,31,4.4,0.84,0.008398808
Florida,12,21299325,221816,2915,3133,14.7,1.41,0.014124319
Georgia,13,10519475,131456,1407,1504,14.3,1.14,0.011441091
Hawaii,15,1420491,10887,110,117,8.2,1.07,0.010746762
Idaho,16,1754208,17709,212,231,13.2,1.3,0.013044215
Illinois,17,12741080,107954,948,1031,8.1,0.96,0.009550364
Indiana,18,6691878,81529,774,858,12.8,1.05,0.010523863
Iowa,19,3156145,33282,291,318,10.1,0.96,0.009554714
Kansas,20,2911505,32190,366,404,13.9,1.26,0.012550482
Kentucky,21,4468402,49544,664,724,16.2,1.46,0.014613273
Louisiana,22,4659978,50045,716,768,16.5,1.53,0.015346188
Maine,23,1338404,14784,128,137,10.2,0.93,0.009266775
Maryland,24,6042718,59775,474,501,8.3,0.84,0.00838143
Massachusetts,25,6902149,66772,343,360,5.2,0.54,0.005391481
Michigan,26,9995915,102398,905,974,9.7,0.95,0.009511905
Minnesota,27,5611179,60438,349,381,6.8,0.63,0.006303981
Mississippi,28,2986530,40730,597,664,22.2,1.63,0.01630248
Missouri,29,6126452,76595,848,921,15,1.2,0.012024284
Montana,30,1062305,12700,168,182,17.1,1.43,0.014330709
Nebraska,31,1929268,20975,201,230,11.9,1.1,0.010965435
Nevada,32,3034392,28319,300,330,10.9,1.17,0.011652954
New Hampshire,33,1356458,13776,134,147,10.8,1.07,0.010670732
New Jersey,34,8908520,77539,525,564,6.3,0.73,0.007273759
New Mexico,35,2095428,27288,350,391,18.7,1.43,0.014328643
New York,36,19542209,123510,889,943,4.8,0.76,0.007635009
North Carolina,37,10383620,121127,1321,1437,13.8,1.19,0.011863581
North Dakota,38,760077,9856,95,105,13.8,1.07,0.010653409
Ohio,39,11689442,114474,996,1068,9.1,0.93,0.009329629
Oklahoma,40,3943079,45433,603,655,16.6,1.44,0.014416834
Oregon,41,4190713,36848,450,506,12.1,1.37,0.013732089
Pennsylvania,42,12807060,102109,1103,1190,9.3,1.17,0.011654213
Puerto Rico,72,0,0,0,0,0,0,0
Rhode Island,44,1057315,8009,56,59,5.6,0.74,0.007366712
South Carolina,45,5084127,56801,970,1037,20.4,1.83,0.018256721
South Dakota,46,882235,9719,110,130,14.7,1.34,0.013375862
Tennessee,47,6770010,81321,974,1041,15.4,1.28,0.012801121
Texas,48,28701845,282037,3305,3642,12.7,1.29,0.012913199
Utah,49,3161105,32069,237,260,8.2,0.81,0.008107518
Vermont,50,626299,7346,60,68,10.9,0.93,0.009256738
Virginia,51,8517685,85336,778,820,9.6,0.96,0.009609075
Washington,53,7535591,62367,497,546,7.2,0.88,0.00875463
West Virginia,54,1805832,19447,265,294,16.3,1.51,0.015118013
Wisconsin,55,5813568,65885,530,588,10.1,0.89,0.008924641
Wyoming,56,577737,10438,100,111,19.2,1.06,0.010634221
